What objects that satisfy the following statement : (subject : Acetaldehyde | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Lead Azide | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Levomenol | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Manganese Acetate | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Melatonin | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Mercuric Chloride | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Mercurous Bromide | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Methane | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Methanol | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Methenamine | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Methylacetylene | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Morphine | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Niacin | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Nifedipine | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Nitric acid | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Nitroglycerin | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Octadecane | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Oleamide | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Oxepin | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Oxytocin | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Phytane | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Pimozide | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Potassium Bitartrate | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Potassium Bromide | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Potassium Hydride | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Potassium Hydroxide | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Potassium Iodide | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Potassium Nitrate | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Progesterone | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Propylene | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Selenium Trioxide | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Serotonin | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Sirolimus | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Sodium Bicarbonate | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Sodium Chloride | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Strontium Hydroxide | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Tetrasulfur Tetranitride | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Thiocyanic acid | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Thioridazine | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Thymine | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Titanium Tetrafluoride | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Triacetin | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Tridecane | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Trimethyl Phosphite | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Tropisetron | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Tyramine | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Undecane | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Urea | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Valsartan | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Vanillin | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Water | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Xanthine | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Zanamivir | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Zinc Phosphate | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : Zirconyl Chloride | relation : ChemicalCompoundElement | objects : ?)
What objects that satisfy the following statement : (subject : AC Cars | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : ALDI | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : ARO | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : ASUS | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : AT&T | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Abarth | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Abbott-Detroit | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Adler | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Aero | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Aichi | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Alcoa | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Alfa Romeo | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Alphi | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Alpine | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Apple Inc. | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Ariès | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Audi | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Auto Union | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Autobianchi | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Automobiles Gonfaronnaises Sportives | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Automobili Turismo e Sport | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Avia | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : BMW M | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : BYD Auto | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Barkas | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Bentley | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Bitter Automobile | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Blu | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Borgward | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Bristol Cars | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Chrysler | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : DAF | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Dacia | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Daewoo | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Daihatsu | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Daimler Company | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : De Tomaso | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Dodge | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : English Racing Automobiles | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : ErAZ | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Ericsson | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Fabryka SamochodóW Małolitrażowych | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Facebook | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Ferrari S.p.A. | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Fiat | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Ford Motor Company | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Ginetta Cars | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Gordini | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Hexe | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Hitachi | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Holden | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Huawei | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Hyundai Motor Group | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : IBM | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Isuzu | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Koenigsegg | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Lamborghini | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Lancia | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Land Rover | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Lea-Francis | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : LinkedIn | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Louis Vuitton | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : MTX | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Max Motors | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Mercedes-AMG | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Mercedes-Benz Group | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Messerschmitt | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Microsoft | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Mitsubishi Motors | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : NedCar | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Oltcit | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Oracle | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Osella | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Pope-Toledo | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Porsche | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Prada | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Praga | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Rayton Fissore | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Ruxton | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : SEAT | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Saab | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Sony | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Stellantis North America | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Subaru | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Suzuki | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : TVR | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Tata Motors Ltd | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Texas Instruments | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : UMM | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Unic | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Velie | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Vignale | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Waymo | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : ZAZ | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Zato vehicles | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Zeddeco | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Zeiller & Fournier | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Zeno Galassi | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Zentralmobil | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Zetgelette | relation : CompanyParentOrganization | objects : ?)
What objects that satisfy the following statement : (subject : Afghanistan | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Albania | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Argentina | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Armenia | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Austria | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Azerbaijan | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Bangladesh | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Belarus | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Benin | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Bhutan | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Brazil | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Burundi | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Cambodia | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Cameroon | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Canada | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Cape Verde | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Chad | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Chile | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Colombia | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Croatia | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Cyprus | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Democratic Republic of the Congo | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Dominica | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : East Timor | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Ecuador | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Egypt | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : El Salvador | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Equatorial Guinea | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Ethiopia | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Fiji | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Finland | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : France | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Gabon | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Greece | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Guinea | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Honduras | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Iceland | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : India | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Indonesia | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Iran | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Iraq | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Israel | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Italy | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Jamaica | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Jordan | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Kenya | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Kingdom of Africa | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Kyrgyzstan | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Lebanon | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Lesotho | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Libya | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Liechtenstein | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Luxembourg | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Madagascar | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Malawi | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Malaysia | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Mali | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Marshall Islands | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Mauritius | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Moldova | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Monaco | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Mongolia | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Montenegro | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Namibia | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Nauru | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Nepal | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Nicaragua | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Niger | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : North Korea | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : North Macedonia | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Norway | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Oman | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Palau | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Papua New Guinea | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : People's Republic of China | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Philippines | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Qatar | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Republic of Ireland | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Romania | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Russia | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Saint Lucia | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Senegal | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Serbia | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Seychelles | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Sierra Leone | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Singapore | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : South Sudan | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Sri Lanka | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : State of Palestine | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Suriname | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Switzerland | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : São Tomé and Príncipe | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Taiwan | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Tonga | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Tuvalu | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Ukraine | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : United Arab Emirates | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : United States of America | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Vietnam | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Zambia | relation : CountryBordersWithCountry | objects : ?)
What objects that satisfy the following statement : (subject : Albania | relation : CountryOfficialLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Andorra | relation : CountryOfficialLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Angola | relation : CountryOfficialLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Antigua and Barbuda | relation : CountryOfficialLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Armenia | relation : CountryOfficialLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Azerbaijan | relation : CountryOfficialLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Bahrain | relation : CountryOfficialLanguage | objects : ?)
