What objects that satisfy the following statement : (subject : Transcend Information | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : Rolls-Royce Motor Cars | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : Bank of Beijing | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : Opel | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : Avia | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : Qantas | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : NSU | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : Stellantis North America | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : Eurofins Scientific SE | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : China Eastern Airlines | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : Decauville | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : Lancia | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : Alstom | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : Matra | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : ALROSA | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : Aastra Technologies | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : Robert Bosch LLC | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : Maersk | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : Honda of the UK Manufacturing | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : Saab | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : Hopson Development | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : ASICS | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : Autobianchi | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : PNC Financial Services | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : ATB AG | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : AMC Theatres | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : Hanomag | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : Gogo Inflight Internet | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : Unic | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : Alpine | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : Wyndham Worldwide | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : Alfa Romeo | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : Ford Performance Vehicles | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : LaSalle | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : Hansa | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : Aimco | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : IBM | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : Industrial and Commercial Bank of China | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : Hays plc | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : Enron | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : IQVIA | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : Talvivaara Mining Company | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : Asia Motors | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : Adidas AG | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : Abarth | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : BASF | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : Grupo Televisa, owner of TelevisaUnivision | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : Tele2 | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : Ford Motor Argentina | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : Piraeus Bank | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : Starbucks | relation : CompanyHasParentOrganisation | objects : ?)
What objects that satisfy the following statement : (subject : Ethiopia | relation : CountryBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Norway | relation : CountryBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Slovakia | relation : CountryBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Laos | relation : CountryBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Tajikistan | relation : CountryBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : South Korea | relation : CountryBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Dominican Republic | relation : CountryBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Malta | relation : CountryBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Nepal | relation : CountryBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : New Zealand | relation : CountryBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Venezuela | relation : CountryBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Ukraine | relation : CountryBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Uganda | relation : CountryBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Haiti | relation : CountryBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Mali | relation : CountryBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Seychelles | relation : CountryBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : State of Palestine | relation : CountryBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Canada | relation : CountryBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Yemen | relation : CountryBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Bhutan | relation : CountryBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Mauritania | relation : CountryBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Spain | relation : CountryBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Solomon Islands | relation : CountryBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Equatorial Guinea | relation : CountryBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Saint Vincent and the Grenadines | relation : CountryBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Mozambique | relation : CountryBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Mexico | relation : CountryBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Brunei | relation : CountryBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Austria | relation : CountryBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : France | relation : CountryBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Israel | relation : CountryBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Bahrain | relation : CountryBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : The Bahamas | relation : CountryBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Cameroon | relation : CountryBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Bangladesh | relation : CountryBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Marshall Islands | relation : CountryBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Greece | relation : CountryBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Malawi | relation : CountryBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Liechtenstein | relation : CountryBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : South Sudan | relation : CountryBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Belize | relation : CountryBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Colombia | relation : CountryBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Guyana | relation : CountryBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Sweden | relation : CountryBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Sierra Leone | relation : CountryBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Russia | relation : CountryBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Tanzania | relation : CountryBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Finland | relation : CountryBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Argentina | relation : CountryBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Saudi Arabia | relation : CountryBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Trinidad and Tobago | relation : CountryBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Japan | relation : CountryBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Kuwait | relation : CountryBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Sudan | relation : CountryBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Iceland | relation : CountryBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Liberia | relation : CountryBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Uzbekistan | relation : CountryBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Ghana | relation : CountryBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Suriname | relation : CountryBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Iran | relation : CountryBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Pakistan | relation : CountryBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Samoa | relation : CountryBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : United States of America | relation : CountryBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Bahrain | relation : CountryHasOfficialLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Switzerland | relation : CountryHasOfficialLanguage | objects : ?)
What objects that satisfy the following statement : (subject : South Sudan | relation : CountryHasOfficialLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Djibouti | relation : CountryHasOfficialLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Finland | relation : CountryHasOfficialLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Vietnam | relation : CountryHasOfficialLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Gabon | relation : CountryHasOfficialLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Grenada | relation : CountryHasOfficialLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Costa Rica | relation : CountryHasOfficialLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Zimbabwe | relation : CountryHasOfficialLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Nepal | relation : CountryHasOfficialLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Liechtenstein | relation : CountryHasOfficialLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Afghanistan | relation : CountryHasOfficialLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Zambia | relation : CountryHasOfficialLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Bangladesh | relation : CountryHasOfficialLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Singapore | relation : CountryHasOfficialLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Slovenia | relation : CountryHasOfficialLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Ethiopia | relation : CountryHasOfficialLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Cameroon | relation : CountryHasOfficialLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Niger | relation : CountryHasOfficialLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Egypt | relation : CountryHasOfficialLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Iran | relation : CountryHasOfficialLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Malta | relation : CountryHasOfficialLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Haiti | relation : CountryHasOfficialLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Germany | relation : CountryHasOfficialLanguage | objects : ?)
What objects that satisfy the following statement : (subject : State of Palestine | relation : CountryHasOfficialLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Vatican City | relation : CountryHasOfficialLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Colombia | relation : CountryHasOfficialLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Mali | relation : CountryHasOfficialLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Malawi | relation : CountryHasOfficialLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Cape Verde | relation : CountryHasOfficialLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Bhutan | relation : CountryHasOfficialLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Jordan | relation : CountryHasOfficialLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Mozambique | relation : CountryHasOfficialLanguage | objects : ?)
What objects that satisfy the following statement : (subject : India | relation : CountryHasOfficialLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Romania | relation : CountryHasOfficialLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Cyprus | relation : CountryHasOfficialLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Ivory Coast | relation : CountryHasOfficialLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Kingdom of Denmark | relation : CountryHasOfficialLanguage | objects : ?)
What objects that satisfy the following statement : (subject : United States of America | relation : CountryHasOfficialLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Lebanon | relation : CountryHasOfficialLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Kuwait | relation : CountryHasOfficialLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Belize | relation : CountryHasOfficialLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Cambodia | relation : CountryHasOfficialLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Armenia | relation : CountryHasOfficialLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Tonga | relation : CountryHasOfficialLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Latvia | relation : CountryHasOfficialLanguage | objects : ?)
What objects that satisfy the following statement : (subject : United Kingdom | relation : CountryHasOfficialLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Kazakhstan | relation : CountryHasOfficialLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Azerbaijan | relation : CountryHasOfficialLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Tuvalu | relation : CountryHasOfficialLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Bulgaria | relation : CountryHasOfficialLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Papua New Guinea | relation : CountryHasOfficialLanguage | objects : ?)
What objects that satisfy the following statement : (subject : People's Republic of China | relation : CountryHasOfficialLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Sri Lanka | relation : CountryHasOfficialLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Antigua and Barbuda | relation : CountryHasOfficialLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Angola | relation : CountryHasOfficialLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Mauritania | relation : CountryHasOfficialLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Marshall Islands | relation : CountryHasOfficialLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Norway | relation : CountryHasOfficialLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Saint Lucia | relation : CountryHasOfficialLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Czech Republic | relation : CountryHasOfficialLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Senegal | relation : CountryHasOfficialLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Thailand | relation : CountryHasOfficialLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Spain | relation : CountryHasOfficialLanguage | objects : ?)
What objects that satisfy the following statement : (subject : Tamzin Outhwaite | relation : PersonHasNumberOfChildren | objects : ?)
What objects that satisfy the following statement : (subject : Luigi Pirandello | relation : PersonHasNumberOfChildren | objects : ?)
What objects that satisfy the following statement : (subject : Edyta Górniak | relation : PersonHasNumberOfChildren | objects : ?)
What objects that satisfy the following statement : (subject : Jens Stoltenberg | relation : PersonHasNumberOfChildren | objects : ?)
What objects that satisfy the following statement : (subject : Yaʿel Ronen | relation : PersonHasNumberOfChildren | objects : ?)
What objects that satisfy the following statement : (subject : Danilo Türk | relation : PersonHasNumberOfChildren | objects : ?)
What objects that satisfy the following statement : (subject : Jean-Paul Belmondo | relation : PersonHasNumberOfChildren | objects : ?)
What objects that satisfy the following statement : (subject : Thomas Mitchell | relation : PersonHasNumberOfChildren | objects : ?)
What objects that satisfy the following statement : (subject : Lars Løkke Rasmussen | relation : PersonHasNumberOfChildren | objects : ?)
What objects that satisfy the following statement : (subject : Juvénal Habyarimana | relation : PersonHasNumberOfChildren | objects : ?)
What objects that satisfy the following statement : (subject : Otto Waalkes | relation : PersonHasNumberOfChildren | objects : ?)
What objects that satisfy the following statement : (subject : Jasmin | relation : PersonHasNumberOfChildren | objects : ?)
What objects that satisfy the following statement : (subject : Zoya Svetova | relation : PersonHasNumberOfChildren | objects : ?)
What objects that satisfy the following statement : (subject : Franciscus Bernardus Hubertus Michiels van Kessenich | relation : PersonHasNumberOfChildren | objects : ?)
What objects that satisfy the following statement : (subject : Sam Taylor-Johnson | relation : PersonHasNumberOfChildren | objects : ?)
What objects that satisfy the following statement : (subject : Seiji Ozawa | relation : PersonHasNumberOfChildren | objects : ?)
What objects that satisfy the following statement : (subject : Tomáš Baťa | relation : PersonHasNumberOfChildren | objects : ?)
What objects that satisfy the following statement : (subject : Elizabeth Berkley | relation : PersonHasNumberOfChildren | objects : ?)
What objects that satisfy the following statement : (subject : Gillian Anderson | relation : PersonHasNumberOfChildren | objects : ?)
What objects that satisfy the following statement : (subject : Steve Martin | relation : PersonHasNumberOfChildren | objects : ?)
What objects that satisfy the following statement : (subject : Tom Buhrow | relation : PersonHasNumberOfChildren | objects : ?)
What objects that satisfy the following statement : (subject : George Grey | relation : PersonHasNumberOfChildren | objects : ?)
What objects that satisfy the following statement : (subject : Jay-Z | relation : PersonHasNumberOfChildren | objects : ?)
What objects that satisfy the following statement : (subject : Sam Walton | relation : PersonHasNumberOfChildren | objects : ?)
What objects that satisfy the following statement : (subject : Aram Khachaturian | relation : PersonHasNumberOfChildren | objects : ?)
What objects that satisfy the following statement : (subject : Samia Longchambon | relation : PersonHasNumberOfChildren | objects : ?)
What objects that satisfy the following statement : (subject : Alessandro Benetton | relation : PersonHasNumberOfChildren | objects : ?)
What objects that satisfy the following statement : (subject : Outi Nyytäjä | relation : PersonHasNumberOfChildren | objects : ?)
What objects that satisfy the following statement : (subject : Paweł Adamowicz | relation : PersonHasNumberOfChildren | objects : ?)
What objects that satisfy the following statement : (subject : Maria Zakharova | relation : PersonHasNumberOfChildren | objects : ?)
What objects that satisfy the following statement : (subject : Mahmood Mamdani | relation : PersonHasNumberOfChildren | objects : ?)
What objects that satisfy the following statement : (subject : Pharrell Williams | relation : PersonHasNumberOfChildren | objects : ?)
What objects that satisfy the following statement : (subject : Tabea Zimmermann | relation : PersonHasNumberOfChildren | objects : ?)
What objects that satisfy the following statement : (subject : Polly Toynbee | relation : PersonHasNumberOfChildren | objects : ?)
What objects that satisfy the following statement : (subject : John Doerr | relation : PersonHasNumberOfChildren | objects : ?)
What objects that satisfy the following statement : (subject : Hilary Swank | relation : PersonHasNumberOfChildren | objects : ?)
What objects that satisfy the following statement : (subject : Patrycja Mikula | relation : PersonHasNumberOfChildren | objects : ?)
What objects that satisfy the following statement : (subject : Joe Biden | relation : PersonHasNumberOfChildren | objects : ?)
What objects that satisfy the following statement : (subject : Srirasmi Suwadee | relation : PersonHasNumberOfChildren | objects : ?)
What objects that satisfy the following statement : (subject : Antonín Pařízek | relation : PersonHasNumberOfChildren | objects : ?)
What objects that satisfy the following statement : (subject : Ed O'Neill | relation : PersonHasNumberOfChildren | objects : ?)
What objects that satisfy the following statement : (subject : Alla Pugacheva | relation : PersonHasNumberOfChildren | objects : ?)
What objects that satisfy the following statement : (subject : Maximilian Schell | relation : PersonHasNumberOfChildren | objects : ?)
What objects that satisfy the following statement : (subject : Pedro Castillo | relation : PersonHasNumberOfChildren | objects : ?)
What objects that satisfy the following statement : (subject : Martin Litchfield West | relation : PersonHasNumberOfChildren | objects : ?)
What objects that satisfy the following statement : (subject : Ales Bialiatski | relation : PersonHasNumberOfChildren | objects : ?)
What objects that satisfy the following statement : (subject : Janet Jackson | relation : PersonHasNumberOfChildren | objects : ?)
What objects that satisfy the following statement : (subject : Jessica Tandy | relation : PersonHasNumberOfChildren | objects : ?)
What objects that satisfy the following statement : (subject : Tamás Végvári | relation : PersonHasNumberOfChildren | objects : ?)
What objects that satisfy the following statement : (subject : Beatrice Chanler | relation : PersonHasNumberOfChildren | objects : ?)
What objects that satisfy the following statement : (subject : Elaine Joyce | relation : PersonHasNumberOfChildren | objects : ?)
What objects that satisfy the following statement : (subject : Keiran Lee | relation : PersonHasNumberOfChildren | objects : ?)
What objects that satisfy the following statement : (subject : Hal Holbrook | relation : PersonHasNumberOfChildren | objects : ?)
What objects that satisfy the following statement : (subject : Ignacy Mościcki | relation : PersonHasNumberOfChildren | objects : ?)
What objects that satisfy the following statement : (subject : Lenny Kravitz | relation : PersonHasNumberOfChildren | objects : ?)
What objects that satisfy the following statement : (subject : Lynda Bellingham | relation : PersonHasNumberOfChildren | objects : ?)
What objects that satisfy the following statement : (subject : Berndt Seite | relation : PersonHasNumberOfChildren | objects : ?)
What objects that satisfy the following statement : (subject : John Oliver | relation : PersonHasNumberOfChildren | objects : ?)
What objects that satisfy the following statement : (subject : Volker Schlöndorff | relation : PersonHasNumberOfChildren | objects : ?)
What objects that satisfy the following statement : (subject : Samantha Bee | relation : PersonHasNumberOfChildren | objects : ?)
What objects that satisfy the following statement : (subject : Ian Somerhalder | relation : PersonHasNumberOfChildren | objects : ?)
What objects that satisfy the following statement : (subject : Stanley Johnson | relation : PersonHasNumberOfChildren | objects : ?)
What objects that satisfy the following statement : (subject : Vicente Fernández | relation : PersonHasNumberOfChildren | objects : ?)
What objects that satisfy the following statement : (subject : Asta Nielsen | relation : PersonHasNumberOfChildren | objects : ?)
What objects that satisfy the following statement : (subject : Nino Borsari | relation : PersonHasNumberOfChildren | objects : ?)
What objects that satisfy the following statement : (subject : John Dramani Mahama | relation : PersonHasNumberOfChildren | objects : ?)
